LocationType,Location,TimeFrame,DataFormat,Data
County,Catawba,2021,Number,1674
County,Catawba,2022,Number,1651
County,Catawba,2023,Number,1674
County,Catawba,2024,Number,1715
County,Catawba,2019,Number,1687
County,Chatham,2017,Number,663
County,Chatham,2014,Number,610
County,Chatham,2016,Number,640
County,Chatham,2012,Number,603
County,Chatham,2011,Number,645
County,Chatham,2015,Number,665
County,Chatham,2010,Number,654
County,Chatham,2009,Number,675
County,Chatham,2018,Number,650
County,Chatham,2013,Number,609
County,Chatham,2008,Number,758
County,Chatham,2007,Number,734
County,Chatham,2006,Number,749
County,Chatham,2005,Number,746
County,Chatham,2004,Number,723
County,Chatham,2003,Number,686
County,Chatham,2002,Number,696
County,Chatham,2001,Number,648
County,Chatham,2000,Number,665
County,Chatham,1999,Number,668
County,Chatham,1998,Number,664
County,Chatham,1997,Number,593
County,Chatham,1996,Number,588
County,Chatham,1995,Number,533
County,Chatham,2020,Number,645
County,Chatham,2021,Number,652
County,Chatham,2022,Number,713
County,Chatham,2023,Number,714
County,Chatham,2024,Number,671
County,Chatham,2019,Number,609
County,Cherokee,1995,Number,238
County,Cherokee,1996,Number,240
County,Cherokee,1997,Number,278
County,Cherokee,1998,Number,261
County,Cherokee,1999,Number,257
County,Cherokee,2000,Number,266
County,Cherokee,2001,Number,267
County,Cherokee,2002,Number,270
County,Cherokee,2003,Number,262
County,Cherokee,2004,Number,259
County,Cherokee,2005,Number,273
County,Cherokee,2006,Number,301
County,Cherokee,2007,Number,223
County,Cherokee,2008,Number,257
County,Cherokee,2013,Number,213
County,Cherokee,2018,Number,258
County,Cherokee,2009,Number,260
County,Cherokee,2010,Number,225
County,Cherokee,2015,Number,222
County,Cherokee,2011,Number,239
County,Cherokee,2012,Number,208
County,Cherokee,2016,Number,257
County,Cherokee,2014,Number,210
County,Cherokee,2017,Number,221
County,Cherokee,2020,Number,243
County,Cherokee,2021,Number,244
County,Cherokee,2022,Number,240
County,Cherokee,2023,Number,247
County,Cherokee,2024,Number,38
County,Cherokee,2019,Number,245
County,Chowan,2017,Number,134
County,Chowan,2014,Number,124
County,Chowan,2016,Number,113
County,Chowan,2012,Number,144
County,Chowan,2011,Number,173
County,Chowan,2015,Number,166
County,Chowan,2010,Number,152
County,Chowan,2009,Number,187
County,Chowan,2018,Number,143
County,Chowan,2013,Number,167
County,Chowan,2008,Number,177
County,Chowan,2007,Number,208
County,Chowan,2006,Number,184
County,Chowan,2005,Number,174
County,Chowan,2004,Number,182
County,Chowan,2003,Number,145
County,Chowan,2002,Number,187
County,Chowan,2001,Number,201
County,Chowan,2000,Number,188
County,Chowan,1999,Number,177
County,Chowan,1998,Number,236
County,Chowan,1997,Number,205
County,Chowan,1996,Number,187
County,Chowan,1995,Number,
County,Chowan,2020,Number,139
County,Chowan,2021,Number,147
County,Chowan,2022,Number,127
County,Chowan,2023,Number,144
County,Chowan,2024,Number,142
County,Chowan,2019,Number,123
County,Clay,1995,Number,
County,Clay,1996,Number,53
County,Clay,1997,Number,77
County,Clay,1998,Number,66
