Location,LocationID,FilterCategory,DataGroup,TimeFrame,DataFormat,Data,Unit
Beaufort,37013,Total,Substantiated,2021,Number,177,
Beaufort,37013,Total,Investigated,2022,Number,654,
Beaufort,37013,Total,Substantiated,2022,Number,184,
Beaufort,37013,Total,Investigated,2023,Number,658,
Beaufort,37013,Total,Substantiated,2023,Number,142,
Bertie,37015,Total,Investigated,2018,"Rate per 1,000",43.1,"per 1,000 children"
Bertie,37015,Total,Substantiated,2018,"Rate per 1,000",9.5,"per 1,000 children"
Bertie,37015,Total,Investigated,2019,"Rate per 1,000",45.6,"per 1,000 children"
Bertie,37015,Total,Substantiated,2019,"Rate per 1,000",4.6,"per 1,000 children"
Bertie,37015,Total,Investigated,2020,"Rate per 1,000",38,"per 1,000 children"
Bertie,37015,Total,Substantiated,2020,"Rate per 1,000",5.5,"per 1,000 children"
Bertie,37015,Total,Investigated,2021,"Rate per 1,000",31.3,"per 1,000 children"
Bertie,37015,Total,Substantiated,2021,"Rate per 1,000",3.2,"per 1,000 children"
Bertie,37015,Total,Investigated,2022,"Rate per 1,000",34.1,"per 1,000 children"
Bertie,37015,Total,Substantiated,2022,"Rate per 1,000",14.3,"per 1,000 children"
Bertie,37015,Total,Investigated,2023,"Rate per 1,000",49.4,"per 1,000 children"
Bertie,37015,Total,Substantiated,2023,"Rate per 1,000",8.8,"per 1,000 children"
Bertie,37015,Total,Investigated,2018,Number,163,
Bertie,37015,Total,Substantiated,2018,Number,36,
Bertie,37015,Total,Investigated,2019,Number,169,
Bertie,37015,Total,Substantiated,2019,Number,17,
Bertie,37015,Total,Investigated,2020,Number,139,
Bertie,37015,Total,Substantiated,2020,Number,20,
Bertie,37015,Total,Investigated,2021,Number,108,
Bertie,37015,Total,Substantiated,2021,Number,11,
Bertie,37015,Total,Investigated,2022,Number,112,
Bertie,37015,Total,Substantiated,2022,Number,47,
Bertie,37015,Total,Investigated,2023,Number,158,
Bertie,37015,Total,Substantiated,2023,Number,28,
Bladen,37017,Total,Investigated,2018,"Rate per 1,000",50.3,"per 1,000 children"
Bladen,37017,Total,Substantiated,2018,"Rate per 1,000",11.7,"per 1,000 children"
Bladen,37017,Total,Investigated,2019,"Rate per 1,000",45.1,"per 1,000 children"
Bladen,37017,Total,Substantiated,2019,"Rate per 1,000",9.4,"per 1,000 children"
Bladen,37017,Total,Investigated,2020,"Rate per 1,000",58.3,"per 1,000 children"
Bladen,37017,Total,Substantiated,2020,"Rate per 1,000",18.9,"per 1,000 children"
Bladen,37017,Total,Investigated,2021,"Rate per 1,000",75.5,"per 1,000 children"
Bladen,37017,Total,Substantiated,2021,"Rate per 1,000",25.1,"per 1,000 children"
Bladen,37017,Total,Investigated,2022,"Rate per 1,000",65.2,"per 1,000 children"
Bladen,37017,Total,Substantiated,2022,"Rate per 1,000",17.7,"per 1,000 children"
Bladen,37017,Total,Investigated,2023,"Rate per 1,000",73,"per 1,000 children"
Bladen,37017,Total,Substantiated,2023,"Rate per 1,000",20.7,"per 1,000 children"
Bladen,37017,Total,Investigated,2018,Number,387,
Bladen,37017,Total,Substantiated,2018,Number,90,
Bladen,37017,Total,Investigated,2019,Number,340,
Bladen,37017,Total,Substantiated,2019,Number,71,
Bladen,37017,Total,Investigated,2020,Number,428,
Bladen,37017,Total,Substantiated,2020,Number,139,
Bladen,37017,Total,Investigated,2021,Number,503,
Bladen,37017,Total,Substantiated,2021,Number,167,
Bladen,37017,Total,Investigated,2022,Number,428,
